frequency,duration,DOF_area,DOF_speed
7.593681704,7.200300685,228.7920126,0
8.67859962,7.05747218,233.7510197,6.610004922
9.695373228,6.8359521,213.6412053,0
13.14373071,6.302816498,167.4464583,0
15.33420786,5.979283595,179.8613868,0
16.73231239,6.012815055,151.4189105,0
19.91404048,5.46744619,162.2397538,6.543749951
22.55858832,5.20728792,160.1734193,0
29.76614831,4.595431105,158.7323549,12.93525186
33.48849966,4.33610051,136.9838833,24.96787071
43.89706252,3.674062558,111.0687227,10.34364081
46.67264028,3.432212518,117.3061613,24.84728892
51.09508472,3.47019091,101.3177113,17.62325631
66.48515652,2.909895675,95.5010458,25.34667762
77.4333256,2.58403463,76.11833563,74.77808682
82.14458652,2.424048976,70.13273595,73.72179577
103.4685522,2.200460201,58.71245562,188.4092603
118.7843604,2.014132656,51.45448225,200.8119122
165.441284,1.565776654,52.25890737,509.5117776
191.2442045,1.372033811,41.43818325,1066.589215
235.734585,1.015343825,21.93515949,1752.011266
271.8117005,0.988505522,27.54925789,2696.84017
314.0813624,0.874837808,22.57805783,4590.794736
449.4830488,0.59259007,18.54452086,8638.26449
512.8729756,0.546507529,15.43672941,10502.0445
563.5353776,0.511712229,17.59974478,12073.84657
762.35064,0.411228835,13.73761127,13733.86997
886.76338,0.343978398,8.941067742,12514.21966
1015.625573,0.266199425,9.698473382,10447.91662
1302.321032,0.26979134,7.536215926,11063.44823
1514.55505,0.242947541,14.99873348,10013.73724
1655.866754,0.228880022,5.345079708,9509.983053
2224.24065,0.175149642,11.44283042,7573.510896
2601.760238,0.130890563,5.854479554,5546.300028
2962.352868,0.088326373,6.191589858,3650.474675
3850.220778,0.134701148,6.083698755,5688.769988
4477.002148,0.138567091,3.543673393,5983.975254
4894.36678,0.139123257,3.314866186,6009.637213
